var,importance
nAcid,0.0018090495
VP-4,0.001700873
C1SP3,0.0016926976
ETA_EtaP_F,0.0016517906
minaaN,0.0016179312
VCH-6,0.0015923909
nBondsD2,0.0015578937
MLFER_BO,0.0015557426
ETA_EtaP_B_RC,0.0015404514
naaaC,0.0014548543
SHCsats,0.0014410268
naaN,0.0014098603
minHsNH2,0.0013987755
ECCEN,0.0013946181
ETA_Eta_R,0.0013587441
maxHaaCH,0.0013550167
nwHBa,0.0013375602
SaasN,0.0012905491
fragC,0.0012680627
VABC,0.0012675729
nHBint9,0.0012539136
SCH-7,0.0012080894
sumI,0.0011218514
minaaaC,0.001113211
minsssN,0.0010537803
nssO,0.001051531
SC-3,0.0010284431
ETA_dEpsilon_C,0.0009938037
maxaaaC,0.0009580323
nBondsM,0.00094785803
WPATH,0.0009311404
WTPT-3,0.00092966476
ETA_BetaP_ns_d,0.0009084924
SHBd,0.0008934037
nN,0.0008905352
PetitjeanNumber,0.00085177197
maxssssC,0.0008418296
minsssCH,0.0008204298
maxsCl,0.0008199846
nHBd,0.00081569114
ETA_Psi_1,0.000814502
SHBint3,0.0007956142
nHBint5,0.0007955943
ETA_EtaP_B,0.0007729251
SssCH2,0.00074685365
MAXDP2,0.00070058147
ETA_Epsilon_1,0.0006677911
SHBint2,0.00065052294
VC-6,0.0006335809
naAromAtom,0.0006300132
SP-2,0.0006203706
SHAvin,0.0006181139
minsCl,0.0006017255
nHBint7,0.00059941073
SHaaNH,0.0005697012
SHsNH2,0.00051176763
SaaN,0.0005080723
ETA_Eta_F,0.00048963627
maxssNH,0.0004753219
nHother,0.00047242412
minssNH,0.00046959703
SP-0,0.00045596302
ATSp1,0.00045543324
MDEC-14,0.00043260967
nssCH2,0.00040788378
nBondsS3,0.00040468964
SdsCH,0.0004027777
nS,0.0003873661
ATSp2,0.00036560494
minHBint9,0.00036180727
nBondsD,0.00035841015
nsssN,0.00033221833
ndO,0.00025778485
C2SP2,0.00024798507
VC-4,0.00022324466
SC-4,0.00022150089
nsCH3,0.0002165867
maxHBint10,0.00021396147
MDEC-34,0.00020761856
mintN,0.00020562022
nCl,0.00020363953
SaaaC,0.00018911905
minssS,0.00017839727
VP-0,0.00017161241
ETA_Shape_X,0.00016297196
nBr,0.00015221207
nsssCH,0.00013306653
SaaNH,0.00011578304
gmax,0.00010824441
nHBAcc2,0.00010420258
nHeavyAtom,9.5096606e-05
McGowan_Volume,9.2628135e-05
naaS,8.983586e-05
nBonds,8.106861e-05
nO,8.0647034e-05
nHBa,7.800324e-05
mintsC,6.474608e-05
nRotB,6.269164e-05
SssS,5.65972e-05
MDEC-24,5.355339e-05
SdCH2,4.7298956e-05
minsF,4.7017907e-05
Kier1,4.4488464e-05
ETA_Beta_s,4.0988853e-05
nFRing,4.0482584e-05
minHaaNH,3.9391685e-05
C4SP3,3.778394e-05
SsssN,2.838003e-05
minaaNH,2.5996977e-05
nBondsT,2.545379e-05
SsF,2.3732944e-05
nHdsCH,1.9107345e-05
minaasN,1.7348393e-05
maxsssCH,1.3075916e-05
nBonds2,1.0976343e-05
nX,1.0403569e-05
minssssC,9.117539e-06
ETA_Alpha,7.706221e-06
maxsssN,7.289153e-06
nI,5.7897646e-06
SsCl,5.6481863e-06
LipinskiFailures,4.937467e-06
WTPT-1,4.874811e-06
MDEN-12,4.6750774e-06
nHBint8,4.50209e-06
nHBAcc3,2.9952864e-06
Zagreb,2.9438775e-06
