var,importance
nHBAcc2,0
ETA_Beta_ns_d,0
maxaaO,0
maxdS,0
maxssAsH,0
maxsAsH2,0
maxssssGe,0
maxsssGeH,0
maxssGeH2,0
maxsGeH3,0
maxsCl,0
maxSm,0
maxssssssS,0
maxddssS,0
maxdssS,0
maxaaS,0
maxssS,0
maxsSH,0
ETA_dPsi_B,0
maxsssssP,0
maxddsP,0
maxdsssP,0
maxsssP,0
maxssPH,0
maxsPH2,0
maxssssSi,0
maxsssSiH,0
maxssSiH2,0
maxsSiH3,0
maxsF,0
maxsOm,0
maxaOm,0
maxsssAs,0
maxdsssAs,0
maxddsAs,0
maxsssssAs,0
ETA_dPsi_A,0
ETA_dEpsilon_A,0
ETA_Epsilon_5,0
ETA_Epsilon_1,0
ETA_dAlpha_B,0
ETA_dAlpha_A,0
MAXDN2,0
mindS,0
MAXDP,0
gmax,0
maxssssPb,0
maxsssPbH,0
maxssPbH2,0
maxsPbH3,0
maxsI,0
maxssssSn,0
maxsssSnH,0
maxssSnH2,0
maxsSnH3,0
maxsBr,0
maxddssSe,0
maxssssssSe,0
maxdssSe,0
maxaaSe,0
maxssSe,0
maxdSe,0
maxsSeH,0
minssS,0
minHssNH2p,0
minsSH,0
naaN,0
nddsN,0
naasN,0
nssssNp,0
nsOH,0
ndO,0
nssO,0
naOm,0
nsOm,0
nsF,0
nsSiH3,0
nssSiH2,0
nsssSiH,0
nssssSi,0
nsPH2,0
nssPH,0
nsssN,0
ndsN,0
ndsssP,0
nsssNHp,0
ndsCH,0
naaCH,0
nddC,0
ntsC,0
ndssC,0
naasC,0
naaaC,0
nssssC,0
nsNH3p,0
nsNH2,0
nssNH2p,0
ndNH,0
nssNH,0
naaNH,0
ntN,0
nsssP,0
nddsP,0
nssssPb,0
nddsAs,0
nsSeH,0
ndSe,0
nssSe,0
naaSe,0
ndssSe,0
nssssssSe,0
nddssSe,0
nsBr,0
nsSnH3,0
nssSnH2,0
nsssSnH,0
nssssSn,0
nsI,0
nsPbH3,0
nssPbH2,0
nsssssAs,0
ndsssAs,0
nsssssP,0
nsssAs,0
nsSH,0
ndS,0
nssS,0
naaS,0
ndssS,0
nddssS,0
nssssssS,0
nSm,0
nsCl,0
nsGeH3,0
nssGeH2,0
nsssGeH,0
nssssGe,0
nsAsH2,0
nssAsH,0
ntCH,0
ndCH2,0
nssssBm,0
nBase,0
nBonds,0
nBondsS,0
nBondsS2,0
nBondsD,0
nBondsD2,0
nBondsT,0
nBondsQ,0
nBondsM,0
bpol,0
C1SP1,0
C2SP1,0
C3SP2,0
C2SP3,0
C4SP3,0
SCH-3,0
BCUTw-1l,0
nX,0
nsssB,0
nI,0
apol,0
naAromAtom,0
nAromBond,0
nAtom,0
nHeavyAtom,0
nH,0
nB,0
nC,0
nN,0
nO,0
nS,0
nP,0
nF,0
nCl,0
nBr,0
SCH-4,0
VCH-3,0
VCH-4,0
VCH-5,0
nHsssNHp,0
nHtCH,0
nHdCH2,0
nHaaCH,0
nHCHnX,0
nHCsats,0
nHCsatu,0
nHAvin,0
nHother,0
nHmisc,0
nsLi,0
nssBe,0
nssssBem,0
nsBH2,0
nssBH,0
nHssNH2p,0
nHsNH3p,0
nHaaNH,0
nHBint2,0
SPC-6,0
VP-1,0
VP-2,0
nHBd,0
nwHBd,0
nHBa,0
nHBint3,0
nHssNH,0
nHBint8,0
nHBint9,0
nHBint10,0
nHdNH,0
nHsSH,0
nHsNH2,0
nsssPbH,0
SwHBd,0
minsssssP,0
minwHBd,0
minHBint8,0
minHdNH,0
minHsSH,0
minHsNH2,0
minHssNH,0
minHaaNH,0
minHsNH3p,0
minHsssNHp,0
minHtCH,0
minHdCH2,0
minHaaCH,0
minHCHnX,0
minHAvin,0
minHmisc,0
minsLi,0
minHBint4,0
SssssPb,0
minssssBem,0
SsssPbH,0
SsSeH,0
SdSe,0
SssSe,0
SaaSe,0
SdssSe,0
SssssssSe,0
SddssSe,0
SsBr,0
SsSnH3,0
SssSnH2,0
SsssSnH,0
SssssSn,0
SsI,0
SsPbH3,0
SssPbH2,0
minssBe,0
minsBH2,0
SHBint2,0
minaaN,0
minddsN,0
minssssNp,0
minssO,0
minaOm,0
minsOm,0
minsF,0
minsSiH3,0
minssSiH2,0
minsssSiH,0
minssssSi,0
minsPH2,0
minssPH,0
minsssP,0
mindsssP,0
minddsP,0
minsssN,0
mindsN,0
minssBH,0
minsssNHp,0
minsssB,0
minssssBm,0
mindCH2,0
mintCH,0
minddC,0
mintsC,0
minaasC,0
minaaaC,0
minsNH3p,0
minsNH2,0
minssNH2p,0
mindNH,0
minssNH,0
minaaNH,0
mintN,0
SsssssAs,0
SddsAs,0
SdsssAs,0
SsLi,0
SssssBem,0
SsBH2,0
SssBH,0
SsssB,0
SssssBm,0
SssCH2,0
StCH,0
SddC,0
StsC,0
SdssC,0
SaaaC,0
SsNH3p,0
