var,importance
ETA_Beta,17.363778570622618
ATSc5,15.277389916832842
ETA_EtaP_B_RC,8.080854611049203
ETA_EtaP_B,4.360517232210782
ECCEN,3.391400067527104
ETA_BetaP,3.375264204032242
maxaaO,2.1454557892497568
minaaO,2.0629152666114323
mindssC,1.8334879034688274
ATSc2,1.3812684483921436
nHBAcc_Lipinski,1.2231858449708721
C2SP2,1.2115236463612744
nTG12Ring,1.1256844446067238
ATSp4,1.0529435240658127
WTPT-3,0.9634501062418007
minHCsats,0.9284598536140306
BCUTc-1l,0.8439920016860922
ETA_Epsilon_3,0.8373971558011721
SPC-6,0.8347081982107744
nF9Ring,0.8158907929234596
SP-4,0.7963554798416137
VCH-7,0.789233002592767
TopoPSA,0.7815322134756983
minwHBa,0.7754461836497947
BCUTw-1h,0.7670766240551424
nH,0.7609665414756598
minHBint4,0.6996351975252957
MLFER_E,0.6935883904810688
ATSm5,0.6879556792225325
VP-1,0.6313585605392493
VCH-6,0.621618007669198
ETA_Psi_1,0.5987151272505818
MLFER_A,0.582268919395213
AMR,0.5761496597255985
SHAvin,0.5542061570112122
SP-6,0.5530521451980343
SaasC,0.5390609864242749
nHBAcc2,0.5163403047228557
WTPT-2,0.508048047078955
ETA_dEpsilon_C,0.48270944647047004
ATSm1,0.4800881153245595
minsCH3,0.4684006501691612
BCUTc-1h,0.46035472500048547
minssssC,0.4599995672019994
MDEC-12,0.4462742657604652
ETA_Epsilon_1,0.43724775976954633
XLogP,0.43096363066373927
MDEC-33,0.42426637778722615
SssO,0.4233402416742367
ETA_Epsilon_2,0.4225191660873975
SPC-5,0.42076071656818503
MLFER_BO,0.413123566039344
nAtomLC,0.4096246294277666
ATSc1,0.3961716337374167
ETA_Shape_Y,0.3735728883325948
VPC-5,0.35470708878032475
ETA_BetaP_ns,0.3229525805379537
nHother,0.31490359798488043
maxssO,0.30261732721088697
C1SP2,0.29434276383663094
ETA_Epsilon_5,0.2779138245774301
minsssCH,0.2729660905400708
nHBa,0.27033642713016587
Kier3,0.254359336847334
ALogP,0.250490127824724
Kier1,0.2353728814682955
MDEC-23,0.23288475240849102
SHCsats,0.23233911060768273
MLFER_BH,0.2321862218262336
LipoaffinityIndex,0.20261024017551674
ATSc4,0.19174875948663747
